"","effect","consc","self.efficacy","orderliness","dutifulness","achievement.striving","self.discipline","cautiousness","df"
"1","adhd","_F_(1, 313) = 55.41, _p_ < .001, pes = 0.15","_F_(1, 313) = 28.05, _p_ < .001, pes = 0.08","_F_(1, 313) = 47.34, _p_ < .001, pes = 0.13","_F_(1, 313) = 16.21, _p_ < .001, pes = 0.05","_F_(1, 313) = 7.54, _p_ = .006, pes = 0.02","_F_(1, 313) = 46.04, _p_ < .001, pes = 0.13","_F_(1, 313) = 51.10, _p_ < .001, pes = 0.14",NA
"2","display_order_f","_F_(1, 313) = 1.74, _p_ = .19, pes = 0.01","_F_(1, 313) = 2.05, _p_ = .15, pes = 0.01","_F_(1, 313) = 0.86, _p_ = .35, pes = 0.003","_F_(1, 313) = 0.10, _p_ = .75, pes = 0.000","_F_(1, 313) = 0.44, _p_ = .51, pes = 0.001","_F_(1, 313) = 0.67, _p_ = .41, pes = 0.002","_F_(1, 313) = 2.83, _p_ = .09, pes = 0.01",NA
"3","adhd:display_order_f","_F_(1, 313) = 4.55, _p_ = .03, pes = 0.01","_F_(1, 313) = 5.34, _p_ = .02, pes = 0.02","_F_(1, 313) = 3.34, _p_ = .07, pes = 0.01","_F_(1, 313) = 0.13, _p_ = .72, pes = 0.000","_F_(1, 313) = 5.93, _p_ = .02, pes = 0.02","_F_(1, 313) = 8.08, _p_ = .005, pes = 0.03","_F_(1, 313) = 0.01, _p_ = .92, pes = 0.000",NA
"4","frameref","_F_(1, 313) = 134.54, _p_ < .001, pes = 0.30","_F_(1, 313) = 65.17, _p_ < .001, pes = 0.17","_F_(1, 313) = 109.44, _p_ < .001, pes = 0.26","_F_(1, 313) = 52.58, _p_ < .001, pes = 0.14","_F_(1, 313) = 15.45, _p_ < .001, pes = 0.05","_F_(1, 313) = 68.13, _p_ < .001, pes = 0.18","_F_(1, 313) = 37.47, _p_ < .001, pes = 0.11",NA
"5","adhd:frameref","_F_(1, 313) = 11.05, _p_ < .001, pes = 0.03","_F_(1, 313) = 6.72, _p_ = .01, pes = 0.02","_F_(1, 313) = 10.74, _p_ = .001, pes = 0.03","_F_(1, 313) = 2.22, _p_ = .14, pes = 0.01","_F_(1, 313) = 0.71, _p_ = .40, pes = 0.002","_F_(1, 313) = 9.85, _p_ = .002, pes = 0.03","_F_(1, 313) = 1.46, _p_ = .23, pes = 0.005",NA
"6","display_order_f:frameref","_F_(1, 313) = 15.01, _p_ < .001, pes = 0.05","_F_(1, 313) = 1.09, _p_ = .30, pes = 0.003","_F_(1, 313) = 12.92, _p_ < .001, pes = 0.04","_F_(1, 313) = 11.78, _p_ < .001, pes = 0.04","_F_(1, 313) = 1.21, _p_ = .27, pes = 0.004","_F_(1, 313) = 5.38, _p_ = .02, pes = 0.02","_F_(1, 313) = 7.74, _p_ = .006, pes = 0.02",NA
"7","adhd:display_order_f:frameref","_F_(1, 313) = 0.07, _p_ = .79, pes = 0.000","_F_(1, 313) = 1.24, _p_ = .27, pes = 0.004","_F_(1, 313) = 0.75, _p_ = .39, pes = 0.002","_F_(1, 313) = 0.28, _p_ = .60, pes = 0.001","_F_(1, 313) = 1.05, _p_ = .31, pes = 0.003","_F_(1, 313) = 0.15, _p_ = .70, pes = 0.000","_F_(1, 313) = 0.43, _p_ = .51, pes = 0.001",NA
