""
Nested Model Comparison

Df,AIC,BIC,Chisq,Chisq diff,RMSEA,Df diff,Pr(>Chisq)
474,16034.3027021758,16688.3516108304,896.872091862567,NA,NA,NA,NA
492,16027.9566118492,16614.3452885741,926.526001536004,29.6539096734377,0.0639123723009579,18,0.0409501885691645


Fit Indices Summaries

model,chisq,df,pvalue,cfi,tli,rmsea,rmsea.ci.lower,rmsea.ci.upper,srmr
config,896.872091862567,474,0,0.902127143674684,0.88602148377305,0.0750240850875052,0.0674944400906415,0.0824972438671859,0.0620372793420525
metric,926.526001536004,492,0,0.899429870789938,0.887165220886272,0.0746467149321755,0.067241895814937,0.0819944293269551,0.069399368759395
