""
Nested Model Comparison

Df,AIC,BIC,Chisq,Chisq diff,RMSEA,Df diff,Pr(>Chisq)
491,16022.9671122455,16613.1146907442,919.5365019323,NA,NA,NA,NA
509,16035.5858704968,16558.0732170658,968.15526018363,48.6187582513295,0.103595979516943,18,0.000121756599176235


Fit Indices Summaries

model,chisq,df,pvalue,cfi,tli,rmsea,rmsea.ci.lower,rmsea.ci.upper,srmr
partial.metric,919.5365019323,491,0,0.900816127876784,0.888493895291212,0.0742059160641366,0.066775804778269,0.0815755286484006,0.0680501950174024
scalar,968.15526018363,509,0,0.893729480673388,0.884751814011219,0.0754407952093502,0.0681918815443023,0.0826400134402107,0.0716288945731797
