""
Nested Model Comparison

Df,AIC,BIC,Chisq,Chisq diff,RMSEA,Df diff,Pr(>Chisq)
474,16034.3027021758,16688.3516108304,896.872091862567,NA,NA,NA,NA
491,16022.9671122455,16613.1146907442,919.5365019323,22.6644100697338,0.0458498848312237,17,0.160498008575902


Fit Indices Summaries

model,chisq,df,pvalue,cfi,tli,rmsea,rmsea.ci.lower,rmsea.ci.upper,srmr
config,896.872091862567,474,0,0.902127143674684,0.88602148377305,0.0750240850875052,0.0674944400906415,0.0824972438671859,0.0620372793420525
partial.metric,919.5365019323,491,0,0.900816127876784,0.888493895291212,0.0742059160641366,0.066775804778269,0.0815755286484006,0.0680501950174024
